H9,C,H9,3835,,,,,,,,,,3834.0155,,,,,,,,,
,,,,,,,,,,,,M,5950,,,,,,,,,
,,,,,,,,,,,,M,5957.5,,,,,,,,,
Ti I 5966,C,,,,,Ti I,5965.8,,,,,,5967.0323,,,,,,,,,
,,,,,,,,,,,,TP,5978.3774,,,,,,,,,
V I/Ti I/Fe I 5985,C,,,,,V I/Ti I/Fe I,5984.6,,,,,TP,5984.647,,,,,,,,,
,,,,,,,,,,,,M,6000,,,,,,,,,
V I/Fe I 6009,C,,,,,V I/Fe I,6008.65,,,,,,6007.8008,,,,,,,,,
V I 6018,C,,,,,V I,6017.9,,,,,wide,6017.8933,,,,,,,,,
,,,,,,,,,,,,,6041.1682,,,,,,,,,
V I 6058,C,,,,,V I,6058.1,,,,,TP,6057.481,,,,,,,,,
Ti I 6065,C,,,,,Ti I,6064.6,,,,,TP,6064.8525,,,,,,,,,
V I/Ti I/Fe I 6081-85,C,,,,,V I/Ti I/Fe I,6081-85,,,,,TP,6083.5347,,,,,,,,,
V I 6090-91,C,,,,,V I,6090-91,,,,,TP,6091.5435,,,,,,,,,
Ca I 6103,C,,,,,,,,,Ca I,6102.72,,6103.377,,,,,,,,,
Ca I 6122,C,,,,,,,,,Ca I,6122,TP,6122.0059,,,,,,,,,
V I 6128,C,,,,,V I,6128.3,,,,,TP,6128.0669,,,,,,,,,
Fe I 6137,C,,,,,,,,,Fe I,6137,,6137.4129,,,,,,,,,
V I/Ti I 6150,C,,,,,V I/Ti I,6150.1,,,,,,6150.56,,,,,,,,,
Ca I 6162,C,,,,,,,,,Ca I,6162,,6162.7827,,,,,,,,,
,,,,,,V I/Fe I,6170,,,Ca I,6169,MK,6170,,,,,,,,,
V I/Co I 6189,C,,,,,V I/Co I,6189.35,,,,,,6190.3941,,,,,,,,,
V I/Fe I 6199,C,,,,,V I/Fe I,6199.2,,,,,,6200.413,,,,,,,,,
V I 6207,C,,,,,V I,6207,,,,,MSK,6207.5,,,,,,,,,
V I 6214-16,C,,,,,V I,6214,,,,,AW,6214.606,,,,,,,,,
,,,,,,V I,6216,,,,,AW,6218.7207,,,,,,,,,
V I/Fe I/Co I 6231,C,,,,,V I/Fe I/Co I,6230.74,,,,,,6231.1238,,,,,,,,,
V I 6243,B,,,,,V I,6243,,,V I,6243,,6242.9741,,,,,,,,,
,,,,,,V I,6257,,,Ti I,6258-59-62,,6257.1413,,,,,,,,,
,,,,,,,,,,,,,6268.0437,,,,,,,,,
,,,,,,,,,,,,,6280.3694,,,,,,,,,
V I/Ti I 6297,C,,,,,V I/Ti I,6296.5,,,,,AW,6298.6411,,,,,,,,,
Fe I 6302-03,C,,,,,Fe I,6302-03,,,,,AW,6303.4336,,,,,,,,,
,,,,,,,,,,,,AW,6313.2905,,,,,,,,,
,,,,,,,,,,,,AW,6318.1367,,,,,,,,,
Fe I 6337,C,,,,,Fe I,6337,,,,,TP,6337.1997,,,,,,,,,
,,,,,,,,,,,,TP,6344.2822,,,,,,,,,
Fe I/Cr I 6359-63,C,,,,,,,,,Fe I/Cr I,6359-63,wide,6361.0879,,,,,,,,,
,,,,,,,,,,,,,6380.9118,,,,,,,,,
,,,,,,,,,,,,TP,6393.9873,,,,,,,,,
Fe I 6400,C,,,,,Fe I,6400,,,,,TP,6400.1709,,,,,,,,,
Fe I 6412,C,,,,,Fe I,6411.66,,,,,TP,6411.9224,,,,,,,,,
,,,,,,,,,,,,TP,6420.2275,,,,,,,,,
,,,,,,,,,,,,TP,6431.8394,,,,,,,,,
,,,,,,,,,,,,TP,6438.7275,,,,,,,,,
,,,,,,V I,6452,,,Co I,6450.25,,6450.8945,,,,,,,,,
,,,,,,,,,,,,MSK,6456,,,,,,,,,
,,,,,,,,,,,,,6464.0603,,,,,,,,,
,,,,,,,,,,,,,6483.0185,,,,,,,,,
Ba I/Fe I/Ca I 6497,C,,,,,,,,,Ba I/Fe I/ca I,6497,,6496.0722,,,,,,,,,
,,,,,,,,,,,,,6517.609,,,,,,,,,
,,,,,,,,,,,,PK,6528.5566,,,,,,,,,
