Ca I 5857,B,,,,,Ca I,5857,Ca I,5857,,5855.2882,,,,,,,,
Na I 5890-96,A,Na I,5889.95,,,Na I,5889.97,Na I,5889.95,TSP,5889.8906,,,,,,,,
,,Na I,5895.92,,,Na I,5895.94,Na I,5895.92,TSP,5896.2266,,,,,,,,
Fe I 5914,C,,,,,Fe I,5914,,,wide,5915.4571,,,,,,,,
Fe I 5930,C,,,,,Fe I,5930,,,,5929.6398,,,,,,,,
,,,,,,,,,,wide,5946.5401,,,,,,,,
,,,,,,,,,,M,5957.5,,,,,,,,
,,,,,,,,,,,5967.5848,,,,,,,,
,,,,,,,,,,,5976.718,,,,,,,,
,,,,,,,,,,AW,5985.2007,,,,,,,,
,,,,,,,,,,AW,5990.0112,,,,,,,,
,,,,,,,,,,M,6007.5,,,,,,,,
Fe I/Mn I 6020-24,C,,,,,Fe I/Mn I,6020-24,,,wide,6022.648,,,,,,,,
,,,,,,,,,,,6043.9978,,,,,,,,
,,,,,,,,,,,6053.4703,,,,,,,,
Fe I 6065,C,,,,,Fe I,6065.49,,,,6064.9896,,,,,,,,
,,,,,,,,,,wide,6082.8921,,,,,,,,
Fe I/Ca I 6102-03,B,,,,,Fe I/Ca I,6102-03,Ca I,6102.72,,6102.3677,,,,,,,,
,,,,,,,,,,,6113.6408,,,,,,,,
Ca I 6122,B,,,,,Ca I,6122.226,Ca I,6122.22,,6122.2821,,,,,,,,
Fe I 6137-41,C,,,,,Fe I,6137-41,Fe I/Ni I,6137,wide,6139.4686,,,,,,,,
,,,,,,,,,,,6148.1072,,,,,,,,
Ca I 6162,B,,,,,Ca I,6162.18,Ca I,6162,,6161.7848,,,,,,,,
Ca I 6169,B,,,,,Ca I,6169,Ca I,6169.7,M,6169,,,,,,,,
,,,,,,,,,,M,6176,,,,,,,,
,,,,,,,,,,AW,6214.6025,,,,,,,,
,,,,,,,,,,AW,6218.9658,,,,,,,,
